Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
"Vino 'Vittoria' Rosso, varietà Frappato'",vino 'Rosso',DOC vino 'Vittoria',"Vitigno 'Calabrese', Vitigno 'Frappato': massimo (<=) 15%, Vitigno 'Frappato': minimo (>=) 85%",85%,15%,"Vitigno 'Calabrese', Vitigno 'Frappato'",Piemonte,Provincia di Alessandria,Castellazzo Bormida
Vino 'Vittoria' Novello,"vino 'Novello ', vino 'Novello'",DOC vino 'Vittoria',"Vitigno 'Calabrese', Vitigno 'Frappato': massimo (<=) 20%, Vitigno 'Calabrese', Vitigno 'Frappato': minimo (>=) 80%",80%,20%,"Vitigno 'Calabrese', Vitigno 'Frappato'",Piemonte,Provincia di Alessandria,Castellazzo Bormida
Vino 'Asti Sottozona Canelli' Bianco,vino 'Bianco',DOCG vino 'Asti Sottozona Canelli',Vitigno 'Moscato Bianco': 100%,,,Vitigno 'Moscato Bianco',Piemonte,"Provincia di Asti, Provincia di Cuneo, Provincia di Asti, Provincia di Cuneo","Bubbio, Calamandrana, Calosso, Cassinasco, Castagnole delle Lanze, Coazzolo, Loazzolo, Moasca, San Marzano Oliveto, Castiglione Tinella, Cossano Belbo, Neive, Neviglie, Rocchetta Belbo, Santo Stefano Belbo, Serralunga d'Alba, Treiso, Trezzo Tinella"
Vino 'Asti Sottozona Santa Vittoria d'Alba' Bianco,vino 'Bianco',DOCG vino 'Asti Sottozona Santa Vittoria d'Alba',Vitigno 'Moscato Bianco': 100%,,,Vitigno 'Moscato Bianco',Piemonte,Provincia di Cuneo,Santa Vittoria d'Alba
Vino 'Asti Sottozona Santa Vittoria d'Alba' Bianco Vendemmia Tardiva,"vino 'Bianco Vendemmia Tardiva', vino 'Bianco Vendemmia Tardiva:'",DOCG vino 'Asti Sottozona Santa Vittoria d'Alba',Vitigno 'Moscato Bianco': 100%,,,Vitigno 'Moscato Bianco',Piemonte,Provincia di Cuneo,Santa Vittoria d'Alba
Vino 'Asti Sottozona Strevi' Bianco,vino 'Bianco',DOCG vino 'Asti Sottozona Strevi',Vitigno 'Moscato Bianco': 100%,,,Vitigno 'Moscato Bianco',Piemonte,Provincia di Alessandria,"Acqui Terme, Alice Bel Colle, Bistagno, Grognardo, Ricaldone, Strevi, Terzo, Piedmont, Visone"
Vino 'Barbaresco con menzioni geografiche aggiuntive' Rosso,vino 'Rosso',DOCG vino 'Barbaresco con menzioni geografiche aggiuntive',Vitigno 'Nebbiolo': 100%,,,Vitigno 'Nebbiolo',Piemonte,Provincia di Cuneo,"Barbaresco, Piedmont, Neive, Treiso"
Vino 'Barolo con menzioni geografiche aggiuntive' Rosso Riserva,vino 'Rosso Riserva',DOCG vino 'Barolo con menzioni geografiche aggiuntive',Vitigno 'Nebbiolo': 100%,,,Vitigno 'Nebbiolo',Piemonte,Provincia di Cuneo,"Barolo, Piedmont, Castiglione Falletto, Cherasco, Diano d'Alba, Grinzane Cavour, La Morra, Monforte d'Alba, Novello, Piedmont, Roddi, Serralunga d'Alba, Verduno"
Vino 'Barolo con menzioni geografiche aggiuntive' Rosso,vino 'Rosso',DOCG vino 'Barolo con menzioni geografiche aggiuntive',Vitigno 'Nebbiolo': 100%,,,Vitigno 'Nebbiolo',Piemonte,Provincia di Cuneo,"Barolo, Piedmont, Castiglione Falletto, Cherasco, Diano d'Alba, Grinzane Cavour, La Morra, Monforte d'Alba, Novello, Piedmont, Roddi, Serralunga d'Alba, Verduno"
Vino 'Barbaresco con menzioni geografiche aggiuntive' Rosso Riserva,vino 'Rosso Riserva',DOCG vino 'Barbaresco con menzioni geografiche aggiuntive',Vitigno 'Nebbiolo': 100%,,,Vitigno 'Nebbiolo',Piemonte,Provincia di Cuneo,"Barbaresco, Piedmont, Neive, Treiso"
