Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Vin Santo del Chianti sottozona Colline Pisane' Bianco,vino 'Bianco',DOC vino 'Vin Santo del Chianti sottozona Colline Pisane',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Pisa,
Vino 'Vin Santo del Chianti sottozona Colline Pisane' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo del Chianti sottozona Colline Pisane',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,Provincia di Pisa,
Vino 'Vin Santo del Chianti sottozona Montalbano' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo del Chianti sottozona Montalbano',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,Provincia di Pistoia,
Vino 'Vin Santo del Chianti sottozona Montalbano' Bianco,vino 'Bianco',DOC vino 'Vin Santo del Chianti sottozona Montalbano',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Pistoia,
Vino 'Vin Santo del Chianti sottozona Montespertoli' Bianco,vino 'Bianco',DOC vino 'Vin Santo del Chianti sottozona Montespertoli',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Agrigento,Montespertoli
Vino 'Vin Santo del Chianti sottozona Montespertoli' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo del Chianti sottozona Montespertoli',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,Provincia di Agrigento,Montespertoli
Vino 'Vin Santo del Chianti sottozona Rufina' Bianco,vino 'Bianco',DOC vino 'Vin Santo del Chianti sottozona Rufina',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Agrigento,"Dicomano, Pelago, Pontassieve, Rufina"
Vino 'Vin Santo del Chianti sottozona Rufina' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo del Chianti sottozona Rufina',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,Provincia di Agrigento,"Dicomano, Pelago, Pontassieve, Rufina"
Vino 'Vin Santo del Chianti' Bianco,vino 'Bianco',DOC vino 'Vin Santo del Chianti',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 30%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 70%",70%,30%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Pisa, Provincia di Pistoia, Provincia di Prato, Provincia di Siena, Provincia di Arezzo, Provincia di Pisa, Provincia di Pistoia, Provincia di Prato, Provincia di Siena, Provincia di Agrigento","Bucine, Capolona, Castiglion Fibocchi, Cavriglia, Civitella in Val di Chiana, Foiano della Chiana, Loro Ciuffenna, Lucignano, Marciano della Chiana, Monte San Savino, Montevarchi, Terranuova Bracciolini, Capannoli, Chianni, Fauglia, Lajatico, Palaia, Peccioli, Ponsacco, Pontedera, San Miniato, Santa Luce, Terricciola, Lamporecchio, Larciano, Monsummano Terme, Montale, Quarrata, Serravalle Pistoiese, Carmignano, Montemurlo, Poggio a Caiano, Asciano, Castelnuovo Berardenga, Cetona, Chianciano Terme, Chiusi, Montalcino, Montepulciano, Monteriggioni, Murlo, Pienza, Poggibonsi, Radicondoli, Rapolano Terme, San Casciano dei Bagni, San Gimignano, Sarteano, Sinalunga, Sovicille, Torrita di Siena, Trequanda, Bagno a Ripoli, Capraia e Limite, Castelfiorentino, Cerreto Guidi, Certaldo, Dicomano, Empoli, Fiesole, Gambassi Terme, Impruneta, Lastra a Signa, Montaione, Montelupo Fiorentino, Montespertoli, Pelago, Pontassieve, Reggello, Rufina, San Casciano in Val di Pesa, Scandicci, Signa"
Vino 'Vin Santo del Chianti' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo del Chianti',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,"Provincia di Pisa, Provincia di Pistoia, Provincia di Prato, Provincia di Siena, Provincia di Arezzo, Provincia di Pisa, Provincia di Pistoia, Provincia di Prato, Provincia di Siena, Provincia di Agrigento","Bucine, Capolona, Castiglion Fibocchi, Cavriglia, Civitella in Val di Chiana, Foiano della Chiana, Loro Ciuffenna, Lucignano, Marciano della Chiana, Monte San Savino, Montevarchi, Terranuova Bracciolini, Capannoli, Chianni, Fauglia, Lajatico, Palaia, Peccioli, Ponsacco, Pontedera, San Miniato, Santa Luce, Terricciola, Lamporecchio, Larciano, Monsummano Terme, Montale, Quarrata, Serravalle Pistoiese, Carmignano, Montemurlo, Poggio a Caiano, Asciano, Castelnuovo Berardenga, Cetona, Chianciano Terme, Chiusi, Montalcino, Montepulciano, Monteriggioni, Murlo, Pienza, Poggibonsi, Radicondoli, Rapolano Terme, San Casciano dei Bagni, San Gimignano, Sarteano, Sinalunga, Sovicille, Torrita di Siena, Trequanda, Bagno a Ripoli, Capraia e Limite, Castelfiorentino, Cerreto Guidi, Certaldo, Dicomano, Empoli, Fiesole, Gambassi Terme, Impruneta, Lastra a Signa, Montaione, Montelupo Fiorentino, Montespertoli, Pelago, Pontassieve, Reggello, Rufina, San Casciano in Val di Pesa, Scandicci, Signa"
