Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Bianco di Castelfranco Emilia' Bianco Frizzante,vino 'Bianco Frizzante',IGT vino 'Bianco di Castelfranco Emilia',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 40%, Vitigno 'Montù': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Montu'', Vitigno 'Montù'",Emilia,"Provincia di Modena, Provincia di Bologna","Castelfranco Emilia, Nonantola, Ravarino, San Cesario sul Panaro, Savignano sul Panaro, Argelato, Calderara di Reno, Crevalcore, Sala Bolognese, San Giovanni in Persiceto, Zola Predosa, Bazzano, Crespellano"
Vino 'Bianco di Castelfranco Emilia' Bianco,vino 'Bianco',IGT vino 'Bianco di Castelfranco Emilia',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 40%, Vitigno 'Montù': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Montu'', Vitigno 'Montù'",Emilia,"Provincia di Modena, Provincia di Modena, Provincia di Agrigento","Castelfranco Emilia, Nonantola, Ravarino, San Cesario sul Panaro, Savignano sul Panaro, Argelato, Calderara di Reno, Crevalcore, Sala Bolognese, San Giovanni in Persiceto, Zola Predosa"
