Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Venezia Giulia' Rosso,vino 'Rosso',IGT vino 'Venezia Giulia',Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per Le Province': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Nera Ammessi E Classificati Per Le Province',Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
Vino 'Venezia Giulia' Bianco Frizzante,vino 'Bianco Frizzante',IGT vino 'Venezia Giulia',Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per Le Province': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca Ammessi E Classificati Per Le Province',Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Rosso Frizzante, varietà un vitigno a bacca nera tra: Merlot, Refosco dal peduncolo rosso, Terrano'",vino 'Rosso Frizzante',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Merlot', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Terrano': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Merlot', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Terrano'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Bianco, varietà un vitigno a bacca bianca tra: Pinot bianco, Pinot grigio, Glera, Ribolla gialla, Riesling renano, Sauvignon, Traminer aromatico, Verduzzo friulano, Chardonnay, Incrocio Manzoni 6.0.13, Sciaglin, Ucelut'",vino 'Bianco',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Glera', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Traminer Aromatico', Vitigno 'Verduzzo Friulano', Vitigno 'Chardonnay', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Sciaglin', Vitigno 'Ucelut': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Glera', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Sciaglin', Vitigno 'Traminer Aromatico', Vitigno 'Ucelut', Vitigno 'Verduzzo Friulano'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Rosso, varietà un vitigno a bacca nera tra: Merlot, Refosco dal peduncolo rosso, Terrano'",vino 'Rosso',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Merlot', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Terrano': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Merlot', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Terrano'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Bianco, varietà un vitigno a bacca bianca tra: Malvasia istriana, Pinot bianco, Pinot grigio, Ribolla gialla, Riesling renano, Riesling italico, Sauvignon, Verduzzo friulano, Chardonnay, Incrocio Manzoni 6.0.13, Moscato giallo'",vino 'Bianco',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Malvasia Istriana', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Riesling Italico', Vitigno 'Sauvignon', Vitigno 'Verduzzo Friulano', Vitigno 'Chardonnay', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Moscato Giallo': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Incrocio Manzoni 6.0.13', Vitigno 'Malvasia Istriana', Vitigno 'Moscato Giallo', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Italico', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Verduzzo Friulano'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
"Vino 'Venezia Giulia' Bianco Frizzante, varietà un vitigno a bacca bianca tra: Malvasia istriana, Sauvignon, Chardonnay, Pinot bianco, Vitouska'",vino 'Bianco Frizzante',IGT vino 'Venezia Giulia',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 15%, Vitigno 'Malvasia Istriana', Vitigno 'Sauvignon', Vitigno 'Chardonnay', Vitigno 'Pinot Bianco', Vitigno 'Vitouska': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Pinot Bianco', Vitigno 'Sauvignon', Vitigno 'Vitouska'",Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
Vino 'Venezia Giulia' Rosato Frizzante,vino 'Rosato Frizzante',IGT vino 'Venezia Giulia',Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per Le Province': 100%,,,Vitigno 'Uno O Più Vitigni A Bacca Bianca E Rossa Ammessi E Classificati Per Le Province',Friuli-Venezia Giulia,Provincia di Agrigento,"Gorizia, Pordenone, Trieste, Udine"
Vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis' Rosso,vino 'Rosso',DOC vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis',"Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Carmenere', Vitigno 'Merlot', Vitigno 'Pignolo', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Refosco Nostrano', Vitigno 'Schioppettino', Vitigno 'Tazzelenghe': 100%",,,"Vitigno 'Cabernet Franc', Vitigno 'Cabernet Sauvignon', Vitigno 'Carmenere', Vitigno 'CarmèNere', Vitigno 'Merlot', Vitigno 'Pignolo', Vitigno 'Pinot Nero', Vitigno 'Refosco Dal Peduncolo Rosso', Vitigno 'Refosco Nostrano', Vitigno 'Schioppettino', Vitigno 'Tazzelenghe'",Friuli-Venezia Giulia,Friuli-Venezia Giulia,"Attimis, Faedis, Nimis, Povoletto, Torreano"
Vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis' Bianco,vino 'Bianco',DOC vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis',"Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Verduzzo Friulano': 100%",,,"Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Verduzzo Friulano'",Friuli-Venezia Giulia,Provincia di Agrigento,Tarcento
Vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis' Bianco,vino 'Bianco',DOC vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis',"Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Verduzzo Friulano': 100%",,,"Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Verduzzo Friulano'",Friuli-Venezia Giulia,Friuli-Venezia Giulia,"Attimis, Faedis, Nimis, Povoletto, Torreano"
Vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis' Bianco Dolce,vino 'Bianco Dolce',DOC vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis',"Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Verduzzo Friulano', Vitigno 'Traminer Aromatico', Vitigno 'Picolit': 100%",,,"Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Picolit', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Traminer Aromatico', Vitigno 'Verduzzo Friulano'",Friuli-Venezia Giulia,Provincia di Agrigento,Tarcento
Vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis' Bianco Dolce,vino 'Bianco Dolce',DOC vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis',"Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Verduzzo Friulano', Vitigno 'Traminer Aromatico', Vitigno 'Picolit': 100%",,,"Vitigno 'Chardonnay', Vitigno 'Malvasia Istriana', Vitigno 'Picolit', Vitigno 'Pinot Bianco', Vitigno 'Pinot Grigio', Vitigno 'Ribolla Gialla', Vitigno 'Riesling Renano', Vitigno 'Sauvignon', Vitigno 'Tocai Friulano', Vitigno 'Traminer Aromatico', Vitigno 'Verduzzo Friulano'",Friuli-Venezia Giulia,Friuli-Venezia Giulia,"Attimis, Faedis, Nimis, Povoletto, Torreano"
"Vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis' Rosso, varietà Refosco'",vino 'Rosso',DOC vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Refosco Nostrano': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Refosco Nostrano'",Friuli-Venezia Giulia,Provincia di Agrigento,Tarcento
"Vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis' Rosso, varietà Refosco'",vino 'Rosso',DOC vino 'Friuli-Venezia Giulia Colli Orientali Sottozona Faedis',"Vitigno 'Altre Varietà A Bacca Nera': massimo (<=) 15%, Vitigno 'Refosco Nostrano': minimo (>=) 85%",85%,15%,"Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Refosco Nostrano'",Friuli-Venezia Giulia,Friuli-Venezia Giulia,"Attimis, Faedis, Nimis, Povoletto, Torreano"
